"","ASSESSMENT","ID_NO","SCI_NAME","PRESENCE","ORIGIN","SEASONAL","COMPILER","YRCOMPILED"
"350",95668053,57724,"Glyphoglossus flavus",1,1,1,"Kelsey Neam",2018
"351",95676801,57726,"Glyphoglossus smithi",1,1,1,"IUCN",2018
"352",95676801,57726,"Glyphoglossus smithi",1,1,1,"Kelsey Neam",2018
"353",95676801,57726,"Glyphoglossus smithi",4,1,1,"Kelsey Neam",2018
"354",95677445,57727,"Glyphoglossus volzi",1,1,1,"IUCN",2017
"355",95677445,57727,"Glyphoglossus volzi",1,1,1,"Kelsey Neam",2017
"356",96065366,57834,"Kalophrynus bunguranus",1,1,1,"IUCN",2017
"357",96300363,57929,"Oreophryne rookmaakeri",1,1,1,"Louise Hobin",2017
"358",96300363,57929,"Oreophryne rookmaakeri",6,1,1,"Louise Hobin",2017
"359",96301356,57936,"Oreophryne zimmeri",1,1,1,"Louise Hobin",2018
"360",98655926,57899,"Ctenophryne aequatorialis",1,1,1,"Kelsey Neam",2021
"361",99930537,57749,"Chiasmocleis anatipes",1,1,1,"Kelsey Neam",2017
"362",99930537,57749,"Chiasmocleis anatipes",6,1,1,"Kelsey Neam",2017
"363",100339932,100339930,"Rhombophryne botabota",1,1,1,"Louise Hobin",2016
"364",100339947,100339944,"Rhombophryne savaka",1,1,1,"Louise Hobin",2016
"365",101434837,57804,"Dermatonotus muelleri",1,1,1,"Sheila Andrade and IUCN",2020
"366",101434837,57804,"Dermatonotus muelleri",6,1,1,"Sheila Andrade",2020
"367",101434988,57811,"Elachistocleis skotogaster",1,1,1,"Kelsey Neam",2018
"368",109540972,57660,"Adelastes hylonomos",1,1,1,"Kelsey Neam",2021
"369",109541083,57812,"Elachistocleis surinamensis",1,1,1,"IUCN",2017
"370",109541202,57938,"Otophryne robusta",1,1,1,"Nieves Garcia",2020
"371",109541321,57939,"Otophryne steyermarki",1,1,1,"Nieves Garcia",2020
"372",112681869,112681867,"Oreophryne anser",1,1,1,"Lauren Warr",2019
"373",112681980,112681978,"Oreophryne aurora",1,1,1,"Lauren Warr",2019
"374",112682057,112682055,"Oreophryne banshee",1,1,1,"Lauren Warr",2019
"375",112682095,112682074,"Oreophryne equus",1,1,1,"Louise Hobin",2019
"376",112682121,112682111,"Oreophryne lemur",1,1,1,"Louise Hobin",2019
"377",112682183,112682140,"Oreophryne matawan",1,1,1,"Louise Hobin",2019
"378",112683315,112683307,"Oreophryne meliades",1,1,1,"Louise Hobin",2019
"379",112683315,112683307,"Oreophryne meliades",3,1,1,"Louise Hobin",2019
"380",112683372,112683348,"Oreophryne penelopeia",1,1,1,"Louise Hobin",2019
"381",112683497,112683493,"Oreophryne philosylleptoris",1,1,1,"Louise Hobin",2019
"382",112683619,112683609,"Oreophryne picticrus",1,1,1,"Louise Hobin",2019
"383",112683692,112683667,"Oreophryne flavomaculata",1,1,1,"Lauren Warr",2019
"384",112683947,112683940,"Oreophryne choerophrynoides",1,1,1,"Louise Hobin",2019
"385",112684057,112684052,"Oreophryne pseudunicolor",1,1,1,"Lauren Warr",2019
"386",113539131,57763,"Chiasmocleis shudikarensis",1,1,1,"Kelsey Neam",2021
"387",113887836,113887829,"Mantophryne insignis",1,1,1,"Louise Hobin",2019
"388",114115559,114115409,"Kalophrynus meizon",1,1,1,"Kelsey Neam",2018
