COLLNUM,Taxon.Name,CATNUM,PRESTYPE,STATUS,ORIGLOCAL,Locality.Selector,LocalityQualifier,ISGPPROV,COLLECTOR,DATECOLL1,gps,elevation,country,province,locality,site,lat,lon,gps_raw,A or B?
AA 19677,Oreophryne (Genus of Microhylidae),38549,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,19 Sep 2009,", ",,,,,,NA,NA,,
AA 19722,Oreophryne (Genus of Microhylidae),38550,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,19 Sep 2009,", ",,,,,,NA,NA,,
AA 19740,Oreophryne (Genus of Microhylidae),38551,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,19 Sep 2009,", ",,,,,,NA,NA,,
AA 19741,Oreophryne (Genus of Microhylidae),38552,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,19 Sep 2009,", ",,,,,,NA,NA,,
AA 19742,Oreophryne (Genus of Microhylidae),38553,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,19 Sep 2009,", ",,,,,,NA,NA,,
AA 19941,Oreophryne (Genus of Microhylidae),38554,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Arambe Camp, near Itokama, 1456 m = from A Allison field catalogue *;* -09.17756°, 148.20006° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,25 Sep 2009,", ",,,,,,NA,NA,,
AA 19944,Oreophryne (Genus of Microhylidae),38555,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Arambe Camp, near Itokama, 1456 m = from A Allison field catalogue *;* -09.17756°, 148.20006° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,25 Sep 2009,", ",,,,,,NA,NA,,
AA 20197,Oreophryne (Genus of Microhylidae),38556,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Morobe Province, vic. Zare Village, Waria River = from A Allison field catalogue *;* -07.86691, 147.63458, 25 m = from email by A Allison dated 19 Mar 2010.","Zare Village vic., Waria River {Papua New Guinea: Morobe Prov.: Zare Village vic., Waria River    :    25 m    :    7.86691ºS [-7.86691]  147.63458ºE [147.63458].}",,Morobe Prov.,A Allison,20 Feb 2010,"-7.86691, 147.63458",25 m,Papua New Guinea,Morobe Prov.,"Zare Village vic., Waria River    ","Zare Village vic., Waria River",-7.86691,147.63458,7.86691ºS 147.63458ºE ,
AA 20198,Oreophryne (Genus of Microhylidae),38557,alcoholic,"installed, Mar 2016; tag tied, ready to install, Dec 2011","Papua New Guinea: Morobe Province, vic. Zare Village, Waria River = from A Allison field catalogue *;* -07.86691, 147.63458, 25 m = from email by A Allison dated 19 Mar 2010.","Zare Village vic., Waria River {Papua New Guinea: Morobe Prov.: Zare Village vic., Waria River    :    25 m    :    7.86691ºS [-7.86691]  147.63458ºE [147.63458].}",,Morobe Prov.,A Allison,20 Feb 2010,"-7.86691, 147.63458",25 m,Papua New Guinea,Morobe Prov.,"Zare Village vic., Waria River    ","Zare Village vic., Waria River",-7.86691,147.63458,7.86691ºS 147.63458ºE ,
AA 20200,Oreophryne (Genus of Microhylidae),38558,alcoholic,"tag tied, ready to install, Dec 2011","Papua New Guinea: Morobe Province, vic. Zare Village, Waria River = from A Allison field catalogue *;* -07.86691, 147.63458, 25 m = from email by A Allison dated 19 Mar 2010.","Zare Village vic., Waria River {Papua New Guinea: Morobe Prov.: Zare Village vic., Waria River    :    25 m    :    7.86691ºS [-7.86691]  147.63458ºE [147.63458].}",,Morobe Prov.,A Allison,20 Feb 2010,"-7.86691, 147.63458",25 m,Papua New Guinea,Morobe Prov.,"Zare Village vic., Waria River    ","Zare Village vic., Waria River",-7.86691,147.63458,7.86691ºS 147.63458ºE ,
