Amphibians of the World Entry,Sequenced? ,BPBM has specimen?,<- how many?,A or B?,Previously called a different genus?,Previous Name,Is it valid?,original description,Allen has?,taxonomic revision?,Allen has?,revision 2?,Allen has?,revision 3?,Allen has?,revision 4?,Allen has?
Oreophryne A sp. 6,Y,,,A,,,,,,,,,,,,,
Oreophryne A sp. 7,Y,,,A,,,,,,,,,,,,,
Oreophryne A sp. 8,Y,,,A,,,,,,,,,,,,,
"Species: Oreophryne equus Kraus, 2016",Y,Y,14,B,N,,,"Kraus, F. 2016. Ten new species of Oreophryne (Anura, Microhylidae) from Papua New Guinea. Zootaxa 4195: 1–68.",Y,,,,,,,,
"Species: Oreophryne ezra Kraus and Allison, 2009",Y,Y,29,B,N,,,"Kraus, F., and A. Allison. 2009. A remarkable ontogenetic change in color pattern in a new species of Oreophryne (Anura: Microhylidae) from Papua New Guinea. Copeia 2009: 690–697.",Y,,,,,,,,
"Species: Oreophryne insulana Zweifel, 1956",Y,Y,7,B,N,,,"Zweifel, R. G. 1956. Results of the Archbold Expeditions. No. 72. Microhylid frogs from New Guinea, with descriptions of new species. American Museum Novitates 1766: 1–49 (http://digitallibrary.amnh.org/handle/2246/4684).",Y,,,,,,,,
"Species: Oreophryne matawan Kraus, 2016",Y,Y,9,B,N,,,"Kraus, F. 2016. Ten new species of Oreophryne (Anura, Microhylidae) from Papua New Guinea. Zootaxa 4195: 1–68.",Y,,,,,,,,
"Species: Oreophryne meliades Kraus, 2016",Y,Y,33,B,N,,,"Kraus, F. 2016. Ten new species of Oreophryne (Anura, Microhylidae) from Papua New Guinea. Zootaxa 4195: 1–68.",Y,,,,,,,,
"Species: Oreophryne penelopeia Kraus, 2016",Y,Y,6,B,N,,,"Kraus, F. 2016. Ten new species of Oreophryne (Anura, Microhylidae) from Papua New Guinea. Zootaxa 4195: 1–68.",Y,,,,,,,,
"Species: Oreophryne phoebe Kraus, 2017",Y,Y,23,B,N,,,"Kraus, F. 2017. A new insular species of Oreophryne (Anura, Microhylidae) from Papua New Guinea. Journal of Herpetology 51(4):552-558.",Y,,,,,,,,
"Species: Oreophryne picticrus Kraus, 2016",Y,Y,46,B,N,,,"Kraus, F. 2016. Ten new species of Oreophryne (Anura, Microhylidae) from Papua New Guinea. Zootaxa 4195: 1–68.",Y,,,,,,,,
"Species: Oreophryne brunnea Kraus, 2017",Y,,,B,N,,,"Kraus, F. 2017. A new species of Oreophryne (Anura: Microhylidae) from the mountains of southeastern Papua New Guinea. Current Herpetology. Kyoto 36: 105–115.",Y,,,,,,,,
Oreophryne B nana,Y,,,B,N,,,,,,,,,,,,
Oreophryne B penelopia (Buyetai),Y,,,B,N,,,,,,,,,,,,
Oreophryne B penelopia (Mt Hobia),Y,,,B,N,,,,,,,,,,,,
Oreophryne B sp. 1,Y,Y,,B,N,,,,,,,,,,,,
Oreophryne B sp. 2,Y,Y,,B,N,,,,,,,,,,,,
Oreophryne B sp. 3,Y,Y,,B,N,,,,,,,,,,,,
Oreophryne B sp. 4,Y,Y,,B,N,,,,,,,,,,,,
Oreophryne B sp. 5,Y,Y,,B,N,,,,,,,,,,,,
Oreophryne B sp. 6,Y,Y,,B,N,,,,,,,,,,,,
"Species: Oreophryne ampelos Kraus, 2011",N,Y,1,,N,,,"Kraus, F. 2011. New frogs (Anura: Microhylidae) from the mountains of western Papua New Guinea. Records of the Australian Museum 63: 53–60.",Y,,,,,,,,
"Species: Oreophryne anser Kraus, 2016",N,Y,12,,N,,,"Kraus, F. 2016. Ten new species of Oreophryne (Anura, Microhylidae) from Papua New Guinea. Zootaxa 4195: 1–68.",Y,,,,,,,,
"Species: Oreophryne anthonyi (Boulenger, 1897)",N,Y,37,,Y,Sphenophryne anthonyi,N,"Boulenger, G. A. 1897. Descriptions of new lizards and frogs from Mount Victoria, Owen Stanley Range, New Guinea, collected by Mr. A. S. Anthony. Annals and Magazine of Natural History, Series 6, 19: 6–13.",N,"Van Kampen, P. N. 1919. Die Amphibienfauna von Neu-Guinea. Bijdragen tot de Dierkunde/ Contributions to Zoology. Amsterdam 21: 51–56.",N,,,,,,
"Species: Oreophryne banshee Kraus, 2016",N,Y,18,,N,,,"Kraus, F. 2016. Ten new species of Oreophryne (Anura, Microhylidae) from Papua New Guinea. Zootaxa 4195: 1–68.",Y,,,,,,,,
"Species: Oreophryne gagneorum Kraus, 2013",N,Y,43,,N,,,"Kraus, F. 2013. Three new species of Oreophryne (Anura, Microhylidae) from Papua New Guinea. ZooKeys 333: 93–121.",Y,,,,,,,,
"Species: Oreophryne geminus Zweifel, Cogger, and Richards, 2005",N,Y,2,,N,,,"Zweifel, R. G., H. G. Cogger, and S. J. Richards. 2005. Systematics of microhylid frogs, genus Oreophryne, living at high elevations in New Guinea. American Museum Novitates 3495: 1–25 (http://digitallibrary.amnh.org/handle/2246/5664).",Y,,,,,,,,
"Species: Oreophryne hypsiops Zweifel, Menzies, and Price, 2003",N,Y,2,,N,,,"Zweifel, R. G., J. I. Menzies, and D. Price. 2003. Systematics of microhylid frogs, genus Oreophryne, from the North Coast Region of New Guinea. American Museum Novitates 3415: 1–31 (http://digitallibrary.amnh.org/handle/2246/2848).",Y,,,,,,,,
"Species: Oreophryne kapisa Günther, 2003",N,Y,5,,N,,,"Günther, R. 2003. Further new species of the genus Oreophryne (Amphibia, Anura, Microhylidae) from western New Guinea. Zoologische Abhandlungen. Staatliches Museum für Tierkunde in Dresden 53: 65–85.",Y,,,,,,,,
"Species: Oreophryne terrestris Zweifel, Cogger, and Richards, 2005",N,Y,2,,N,,,"Zweifel, R. G., H. G. Cogger, and S. J. Richards. 2005. Systematics of microhylid frogs, genus Oreophryne, living at high elevations in New Guinea. American Museum Novitates 3495: 1–25 (http://digitallibrary.amnh.org/handle/2246/5664).",Y,,,,,,,,
"Species: Oreophryne albitympanum Günther, Richards, and Tjaturadi, 2018",N,N,,,N,,,"Günther, R., S. J. Richards, and B. Tjaturadi. 2018. Two new frog species from the Foja Mountains in northwestern New Guinea (Amphibia, Anura, Microhylidae). Vertebrate Zoology. Senckenberg 68: 109–122.",N,,,,,,,,
"Species: Oreophryne albomaculata Günther, Richards, and Dahl, 2014",N,N,,,N,,,"Günther, R., S. J. Richards, and C. S. Dahl. 2014. Nine new species of microhylid frogs from the Muller Range in western Papua New Guinea (Anura, Microhylidae). Vertebrate Zoology. Dresden 64: 59–94.",Y,,,,,,,,
"Species: Oreophryne albopunctata (Van Kampen, 1909)",N,N,,,Y,Sphenophryne albopunctata ,N,"Van Kampen, P. N. 1909. Die Amphibienfauna von Neu-Guinea, nach der Ausbeute der niederlänischen Süd-Neu-Guinea Expeditionen von 1904–1905 und 1907. Nova Guinea. Leiden 9: 31–49.",N,"Van Kampen, P. N. 1919. Die Amphibienfauna von Neu-Guinea. Bijdragen tot de Dierkunde/ Contributions to Zoology. Amsterdam 21: 51–56.",N,,,,,,
"Species: Oreophryne alticola Zweifel, Cogger, and Richards, 2005",N,N,,,N,,,"Zweifel, R. G., H. G. Cogger, and S. J. Richards. 2005. Systematics of microhylid frogs, genus Oreophryne, living at high elevations in New Guinea. American Museum Novitates 3495: 1–25 (http://digitallibrary.amnh.org/handle/2246/5664).",Y,,,,,,,,
"Species: Oreophryne asplenicola Günther, 2003",N,N,,,N,,,"Günther, R. 2003. Further new species of the genus Oreophryne (Amphibia, Anura, Microhylidae) from western New Guinea. Zoologische Abhandlungen. Staatliches Museum für Tierkunde in Dresden 53: 65–85.",Y,,,,,,,,
"Species: Oreophryne atrigularis Günther, Richards, and Iskandar, 2001",N,N,,,N,,,"Günther, R., S. J. Richards, and D. T. Iskandar. 2001. Two new species of the genus Oreophryne from Irian Jaya, Indonesia (Amphibia, Anura, Microhylidae). Spixiana. München 24: 257–274.",Y,,,,,,,,
"Species: Oreophryne brevicrus Zweifel, 1956",N,N,,,N,,,"Zweifel, R. G. 1956. Results of the Archbold Expeditions. No. 72. Microhylid frogs from New Guinea, with descriptions of new species. American Museum Novitates 1766: 1–49 (http://digitallibrary.amnh.org/handle/2246/4684).",Y,,,,,,,,
"Species: Oreophryne brevirostris Zweifel, Cogger, and Richards, 2005",N,N,,,N,,,"Zweifel, R. G., H. G. Cogger, and S. J. Richards. 2005. Systematics of microhylid frogs, genus Oreophryne, living at high elevations in New Guinea. American Museum Novitates 3495: 1–25 (http://digitallibrary.amnh.org/handle/2246/5664).",Y,,,,,,,,
"Species: Oreophryne celebensis (Müller, 1894)",N,N,,,Y,Sphenophryne celebensis,N,"Müller, F. 1894. Reptilien und Amphibien aus Celebes. Verhandlungen der Naturforschenden Gesellschaft in Basel 10: 825–843.",N,"Méhely, L. von. 1901. Beiträge zur Kenntnis der Engystomatiden von Neu Guinea. Természetrajzi Füzetek. Budapest 24: 169–271.",Y,,,,,,
"Species: Oreophryne choerophrynoides Günther, 2015",N,N,,,N,,,"Günther, R. 2015. Two new Oreophryne species from the Fakfak Mountains, West Papua Province of Indonesia (Anura, Microhylidae). Vertebrate Zoology. Dresden 65: 357–370.",Y,,,,,,,,
"Species: Oreophryne clamata Günther, 2003",N,N,,,N,,,"Günther, R. 2003. Three new species of the genus Oreophryne from western Papua, Indonesia (Amphibia, Anura, Microhylidae). Spixiana. München 26: 175–191.",Y,,,,,,,,
"Species: Oreophryne crucifer (Van Kampen, 1913)",N,N,,,Y,Cophixalus crucifer,N,"Van Kampen, P. N. 1913. Amphibian, gesammelt von der Niederländischen Süd Neu-Guinea-Expedition von 1909–10. Nova Guinea. Leiden 9: 453–465.",N,"Parker, H. W. 1934. A Monograph of the Frogs of the Family Microhylidae. London: Trustees of the British Museum.",N,,,,,,
"Species: Oreophryne curator Günther, Richards, and Dahl, 2014",N,N,,,N,,,"Günther, R., S. J. Richards, and C. S. Dahl. 2014. Nine new species of microhylid frogs from the Muller Range in western Papua New Guinea (Anura, Microhylidae). Vertebrate Zoology. Dresden 64: 59–94.",Y,,,,,,,,
"Species: Oreophryne flava Parker, 1934",N,N,,,N,,,"Parker, H. W. 1934. A Monograph of the Frogs of the Family Microhylidae. London: Trustees of the British Museum.",N,,,,,,,,
"Species: Oreophryne flavomaculata Günther and Richards, 2016",N,N,,,N,,,"Günther, R., and S. J. Richards. 2016. Description of two new species of the microhylid frog genus Oreophryne (Amphibia: Anura: Microhylidae) from southern Papua New Guinea. Vertebrate Zoology. Senckenberg 66: 157–168.",Y,,,,,,,,
"Species: Oreophryne furu Günther, Richards, Tjaturadi, and Iskandar, 2009",N,N,,,N,,,"Günther, R., S. J. Richards, B. Tjaturadi, and D. T. Iskandar. 2009. A new species of the microhylid frog genus Oreophryne from the Mamberamo Basin of northern Papua Province, Indonesian New Guinea. Vertebrate Zoology. Museum für Tierkunde, Dresden 59: 147–155.",Y,,,,,,,,
"Species: Oreophryne habbemensis Zweifel, Cogger, and Richards, 2005",N,N,,,N,,,"Zweifel, R. G., H. G. Cogger, and S. J. Richards. 2005. Systematics of microhylid frogs, genus Oreophryne, living at high elevations in New Guinea. American Museum Novitates 3495: 1–25 (http://digitallibrary.amnh.org/handle/2246/5664).",Y,,,,,,,,
"Species: Oreophryne idenburgensis Zweifel, 1956",N,N,,,N,,,"Zweifel, R. G. 1956. Results of the Archbold Expeditions. No. 72. Microhylid frogs from New Guinea, with descriptions of new species. American Museum Novitates 1766: 1–49 (http://digitallibrary.amnh.org/handle/2246/4684).",Y,,,,,,,,
"Species: Oreophryne jeffersoniana Dunn, 1928",N,N,,,N,,,"Dunn, E. R. 1928. Results of the Douglas Burden expedition to the island of Komodo. 4. Frogs from the East Indies. American Museum Novitates 315: 1–9 (http://digitallibrary.amnh.org/handle/2246/3767).",Y,"Mertens, R. 1965. Eine neue Art der Froschgattung Oreophryne von der Insel Rintja. Senckenbergiana Biologica 46: 189–191.",Y,,,,,,
"Species: Oreophryne kampeni Parker, 1934",N,N,,,N,,,"Parker, H. W. 1934. A Monograph of the Frogs of the Family Microhylidae. London: Trustees of the British Museum.",N,,,,,,,,
"Species: Oreophryne mertoni (Roux, 1910)",N,N,,,Y,Sphenophryne mertoni,N,"Roux, J. 1910. Reptilien und Amphibien der Aru- und Kei-Inseln. Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft, Frankfurt am Main 33: 211–247.",N,"Zweifel, R. G., J. I. Menzies, and D. Price. 2003. Systematics of microhylid frogs, genus Oreophryne, from the North Coast Region of New Guinea. American Museum Novitates 3415: 1–31 (http://digitallibrary.amnh.org/handle/2246/2848).",Y,,,,,,
"Species: Oreophryne minuta Richards and Iskandar, 2000",N,N,,,N,,,"Richards, S. J., and D. T. Iskandar. 2000. A new minute Oreophryne (Anura: Microhylidae) from the mountains of Irian Jaya, Indonesia. Raffles Bulletin of Zoology. Singapore 48: 257–262.",Y,,,,,,,,
"Species: Oreophryne monticola (Boulenger, 1897)",N,N,,,Y,"Sphenophryne monticola, Callula modesta ","? ""Kaloula"" is in use but ""Callula"" is not ","Boulenger, G. A. 1897. A list of the reptiles and batrachians collected by Mr. Alfred Everett in Lombok, Flores, Sumba, and Savu, with descriptions of new species. Annals and Magazine of Natural History, Series 6, 19: 503–509.",N,"Boettger, O. 1898. Geschenke und Erwerbungen. C. Durch Kauf erworben. 4. Für die Reptilien- und Batrachiersammlung. Bericht der Senckenbergischen Naturforschenden Gesellschaft in Frankfurt am Main 1898: liv–lvi.",N,"Van Kampen, P. N. 1923. The Amphibia of the Indo-Australian Archipelago. Leiden: E. J. Brill Ltd..",Y,,,,
