"","sp","orig.x","prev","curr","notes","species","citation.x","name","auth","orig.y","latitude","longitude","citation.y"
"32","frontifasciata","Callula frontifasciata Horst, 1883","Oreophryne","incertae sedis","","Callula frontifasciata","Horst, 1883","Callula frontifasciata","Horst, 1883","Oreophryne frontifasciata (Horst, 1883)",2.36284,128.39942,"(Horst, 1883)"
"33","furu","Oreophryne furu Günther, Richards, Tjaturadi, and Iskandar, 2009","Oreophryne","incertae sedis","","Oreophryne furu","Günther, Richards, Tjaturadi, and Iskandar, 2009","Oreophryne furu","Günther, Richards, Tjaturadi, and Iskandar, 2009","Oreophryne furu Günther, Richards, Tjaturadi, and Iskandar, 2009",-3.28444,138.63611,"Günther, Richards, Tjaturadi, and Iskandar, 2009"
"34","gagneorum","Oreophryne gagneorum Kraus, 2013","Oreophryne","Auparoparo","Transferred to Auparoparo","Oreophryne gagneorum","Kraus, 2013","Oreophryne gagneorum","Kraus, 2013","Oreophryne gagneorum Kraus, 2013",-11.3555,154.2246,"Kraus, 2013"
"35","geislerorum","Cophixalus geislerorum Boettger, 1892","Oreophryne","Oreophryne","Retained in Oreophryne","Cophixalus geislerorum","Boettger, 1892","Cophixalus geislerorum","Boettger, 1892","Oreophryne geislerorum (Boettger, 1892)",NA,NA,"(Boettger, 1892)"
"36","geminus","Oreophryne geminus Zweifel, Cogger, and Richards, 2005","Oreophryne","incertae sedis","","Oreophryne geminus","Zweifel, Cogger, and Richards, 2005","Oreophryne geminus","Zweifel, Cogger, and Richards, 2005","Oreophryne geminus Zweifel, Cogger, and Richards, 2005",-5.01667,141.1,"Zweifel, Cogger, and Richards, 2005"
"37","graminis","Oreophryne graminis Günther & Richards, 2012","Oreophryne","Oreophryne","Retained in Oreophryne","Oreophryne graminis","Günther & Richards, 2012","Oreophryne graminis","Günther & Richards, 2012","Oreophryne graminis Günther and Richards, 2012",-5.57027,143.05877,"Günther and Richards, 2012"
"38","habbemensis","Oreophryne habbemensis Zweifel, Cogger, and Richards, 2005","Oreophryne","incertae sedis","","Oreophryne habbemensis","Zweifel, Cogger, and Richards, 2005","Oreophryne habbemensis","Zweifel, Cogger, and Richards, 2005","Oreophryne habbemensis Zweifel, Cogger, and Richards, 2005",-4.12653,138.65644,"Zweifel, Cogger, and Richards, 2005"
"39","hypsiops","Oreophryne hypsiops Zweifel, Menzies, and Price, 2003","Oreophryne","incertae sedis","","Oreophryne hypsiops","Zweifel, Menzies, and Price, 2003","Oreophryne hypsiops","Zweifel, Menzies, and Price, 2003","Oreophryne hypsiops Zweifel, Menzies, and Price, 2003",-5.01208,145.79366,"Zweifel, Menzies, and Price, 2003"
"40","idenburgensis","Oreophryne idenburgensis Zweifel, 1956","Oreophryne","incertae sedis","","Oreophryne idenburgensis","Zweifel, 1956","Oreophryne idenburgensis","Zweifel, 1956","Oreophryne idenburgensis Zweifel, 1956",-3.50815,139.02952,"Zweifel, 1956"
"41","inornata","Oreophryne inornata Zweifel, 1956","Oreophryne","Oreophryne","Retained in Oreophryne","Oreophryne inornata","Zweifel, 1956","Oreophryne inornata","Zweifel, 1956","Oreophryne inornata Zweifel, 1956",-9.35274,150.24623,"Zweifel, 1956"
